family,offered_load,cascade_threshold,cascade_dwell_ticks,algorithm,cascade_depth,pdr,pdr_critical,total_links
scale_free,0.7,1.0,5,spf-reconverge,108.5,0.12384317620575963,0.14260373199816173,232.0
scale_free,0.7,1.0,5,spf-static,32.0,0.21244445590936833,0.23695047751234005,232.0
scale_free,0.7,1.0,10,cspf,95.0,0.18178043627704185,0.20958585362145316,232.0
scale_free,0.7,1.0,10,ecmp,91.5,0.20326598441749735,0.2839255162474346,232.0
scale_free,0.7,1.0,10,orbit,91.0,0.18897280429603597,0.2933241653636355,232.0
scale_free,0.7,1.0,10,spf-reconverge,107.0,0.17502136655545286,0.24988463869721103,232.0
scale_free,0.7,1.0,10,spf-static,32.0,0.22479960608107163,0.26312298973542414,232.0
scale_free,0.7,1.0,20,cspf,95.0,0.2555816318823567,0.3542314591856305,232.0
scale_free,0.7,1.0,20,ecmp,89.0,0.3204563538709373,0.4822092060104015,232.0
scale_free,0.7,1.0,20,orbit,90.0,0.27086075614721494,0.42296851407292,232.0
scale_free,0.7,1.0,20,spf-reconverge,104.5,0.26852698278946285,0.445051666981253,232.0
scale_free,0.7,1.0,20,spf-static,32.0,0.2490263979241628,0.31518611957641696,232.0
scale_free,0.7,1.0,40,cspf,61.5,0.4912755582235492,0.7456575879107086,232.0
scale_free,0.7,1.0,40,ecmp,60.0,0.49322391619818345,0.8197418259660569,232.0
scale_free,0.7,1.0,40,orbit,64.0,0.48098203281035823,0.7709767279036965,232.0
scale_free,0.7,1.0,40,spf-reconverge,68.5,0.43785640343332355,0.793783475644871,232.0
scale_free,0.7,1.0,40,spf-static,27.5,0.3178662341577305,0.4114899157689541,232.0
scale_free,0.9,0.75,1,cspf,135.0,0.02254330698269587,0.01355367984234904,232.0
scale_free,0.9,0.75,1,ecmp,131.0,0.024544832031023717,0.012964245234191436,232.0
scale_free,0.9,0.75,1,orbit,136.5,0.020407102584594546,0.011395256880239416,232.0
scale_free,0.9,0.75,1,spf-reconverge,136.0,0.025597316415752955,0.013518619108461187,232.0
scale_free,0.9,0.75,1,spf-static,61.5,0.0728378336306367,0.0771587806875988,232.0
scale_free,0.9,0.75,3,cspf,135.0,0.03346681600908249,0.033318605476988394,232.0
scale_free,0.9,0.75,3,ecmp,126.5,0.04138935223563568,0.037408314257914695,232.0
scale_free,0.9,0.75,3,orbit,136.5,0.029658376640813677,0.031095942183395765,232.0
scale_free,0.9,0.75,3,spf-reconverge,136.0,0.0361604795488181,0.038938189965477266,232.0
scale_free,0.9,0.75,3,spf-static,61.5,0.07844398992368529,0.0883977612811887,232.0
scale_free,0.9,0.75,5,cspf,135.0,0.043875611860593425,0.053083531111627835,232.0
scale_free,0.9,0.75,5,ecmp,125.5,0.0528709855549816,0.06135538114416766,232.0
scale_free,0.9,0.75,5,orbit,136.5,0.03837386743515968,0.05096664431194714,232.0
scale_free,0.9,0.75,5,spf-reconverge,136.0,0.04708631475666196,0.06372176724090756,232.0
scale_free,0.9,0.75,5,spf-static,61.5,0.0842394990926685,0.09963674187477864,232.0
scale_free,0.9,0.75,10,cspf,135.0,0.06734083518430356,0.10163015156557464,232.0
scale_free,0.9,0.75,10,ecmp,125.5,0.07870030003811615,0.12172580289031217,232.0
scale_free,0.9,0.75,10,orbit,136.0,0.06412700669137895,0.10164168163941657,232.0
scale_free,0.9,0.75,10,spf-reconverge,136.0,0.07488930629603888,0.1256807104294833,232.0
scale_free,0.9,0.75,10,spf-static,61.5,0.09880629575776399,0.12773419335875336,232.0
scale_free,0.9,0.75,20,cspf,134.5,0.1171119739878013,0.18556736630543907,232.0
scale_free,0.9,0.75,20,ecmp,126.5,0.13216426220819796,0.23116953699881695,232.0
scale_free,0.9,0.75,20,orbit,136.5,0.10804533498972568,0.19036659742606266,232.0
scale_free,0.9,0.75,20,spf-reconverge,136.0,0.1315981008247038,0.24673419421718235,232.0
scale_free,0.9,0.75,20,spf-static,61.5,0.12793988908795528,0.18392909632670332,232.0
scale_free,0.9,0.75,40,cspf,118.5,0.25068918693561815,0.4259894372112283,232.0
scale_free,0.9,0.75,40,ecmp,118.5,0.24857127942232615,0.45469689169966965,232.0
scale_free,0.9,0.75,40,orbit,124.5,0.22147632272801282,0.40851457302430616,232.0
scale_free,0.9,0.75,40,spf-reconverge,121.0,0.2548386431322474,0.5062467417091918,232.0
scale_free,0.9,0.75,40,spf-static,57.0,0.1898514312766979,0.28016655134815777,232.0
scale_free,0.9,0.8,1,cspf,129.0,0.02863582856619274,0.034092151523903685,232.0
scale_free,0.9,0.8,1,ecmp,126.5,0.02700324768586101,0.013420815721458047,232.0
scale_free,0.9,0.8,1,orbit,131.0,0.026859271487582596,0.034161260784570914,232.0
scale_free,0.9,0.8,1,spf-reconverge,132.0,0.025660742880700825,0.026654904711044636,232.0
scale_free,0.9,0.8,1,spf-static,57.5,0.08334335827337641,0.0771587806875988,232.0
scale_free,0.9,0.8,3,cspf,129.0,0.03985253088912886,0.051877139033482816,232.0
scale_free,0.9,0.8,3,ecmp,119.5,0.04421537252470717,0.04562549605510957,232.0
scale_free,0.9,0.8,3,orbit,131.0,0.03630612569931094,0.05285038515538223,232.0
scale_free,0.9,0.8,3,spf-reconverge,132.0,0.03794422547737625,0.052828743212788534,232.0
scale_free,0.9,0.8,3,spf-static,57.5,0.0888969803836086,0.0883977612811887,232.0
scale_free,0.9,0.8,5,cspf,129.0,0.05079964448267561,0.07040191318409654,232.0
scale_free,0.9,0.8,5,ecmp,119.0,0.05648541206897363,0.06781363515993902,232.0
scale_free,0.9,0.8,5,orbit,131.0,0.045658794130042674,0.07113021820661614,232.0
scale_free,0.9,0.8,5,spf-reconverge,132.0,0.05047642007466748,0.07900258171453194,232.0
scale_free,0.9,0.8,5,spf-static,57.5,0.0945778601817481,0.09963674187477864,232.0
scale_free,0.9,0.8,10,cspf,128.5,0.07599149095857338,0.11068535244869468,232.0
scale_free,0.9,0.8,10,ecmp,120.0,0.08444463394570123,0.1285866107344663,232.0
scale_free,0.9,0.8,10,orbit,130.5,0.06930532315348988,0.11572419767238823,232.0
scale_free,0.9,0.8,10,spf-reconverge,131.5,0.0804031381375292,0.14615603146029302,232.0
scale_free,0.9,0.8,10,spf-static,57.5,0.10878005967709689,0.12773419335875336,232.0
scale_free,0.9,0.8,20,cspf,129.5,0.12537408273147893,0.21037789575682653,232.0
scale_free,0.9,0.8,20,ecmp,120.5,0.14345476537562865,0.250627469202651,232.0
scale_free,0.9,0.8,20,orbit,131.5,0.11669421225784464,0.20434806460292176,232.0
scale_free,0.9,0.8,20,spf-reconverge,132.0,0.13893502344069997,0.265853909613449,232.0
scale_free,0.9,0.8,20,spf-static,57.5,0.137184458667794,0.18392909632670332,232.0
scale_free,0.9,0.8,40,cspf,111.5,0.26615893797797896,0.4545815731219842,232.0
scale_free,0.9,0.8,40,ecmp,109.5,0.26193356076972274,0.49756657869081694,232.0
scale_free,0.9,0.8,40,orbit,117.0,0.2387405383645612,0.4407050697427704,232.0
scale_free,0.9,0.8,40,spf-reconverge,115.0,0.26502428034513825,0.5280820754628983,232.0
scale_free,0.9,0.8,40,spf-static,52.0,0.1948530702069537,0.28016655134815777,232.0
scale_free,0.9,0.85,1,cspf,123.0,0.03165173014893371,0.037788895613193846,232.0
scale_free,0.9,0.85,1,ecmp,119.5,0.03703951352132427,0.027095395630465095,232.0
scale_free,0.9,0.85,1,orbit,125.0,0.03445398489522408,0.03400661648187528,232.0
scale_free,0.9,0.85,1,spf-reconverge,129.0,0.025174552141226825,0.03753241425168158,232.0
scale_free,0.9,0.85,1,spf-static,54.0,0.09302893220444144,0.09124302274209183,232.0
scale_free,0.9,0.85,3,cspf,123.0,0.0427678497374631,0.05686954997231955,232.0
scale_free,0.9,0.85,3,ecmp,115.5,0.056374431314219015,0.058612505750647026,232.0
scale_free,0.9,0.85,3,orbit,125.0,0.04428919169501497,0.05325937215771434,232.0
scale_free,0.9,0.85,3,spf-reconverge,129.0,0.037496575301729416,0.060493389514100576,232.0
scale_free,0.9,0.85,3,spf-static,54.0,0.09861694338106748,0.10088527066630941,232.0
scale_free,0.9,0.85,5,cspf,123.0,0.05411222289195902,0.0759502043314455,232.0
scale_free,0.9,0.85,5,ecmp,115.5,0.0681154005253055,0.07953675841926042,232.0
scale_free,0.9,0.85,5,orbit,125.0,0.053712503851898054,0.07251212783355354,232.0
scale_free,0.9,0.85,5,spf-reconverge,129.0,0.04977908972979102,0.08345436477651916,232.0
scale_free,0.9,0.85,5,spf-static,54.0,0.10420495455769355,0.11073820425066602,232.0
scale_free,0.9,0.85,10,cspf,123.0,0.08378766107230225,0.11727495878901056,232.0
scale_free,0.9,0.85,10,ecmp,115.0,0.09677722625826224,0.13871110013921117,232.0
scale_free,0.9,0.85,10,orbit,123.0,0.07953251234190761,0.1214014743910613,232.0
scale_free,0.9,0.85,10,spf-reconverge,129.0,0.08236019395997186,0.15209855783857337,232.0
scale_free,0.9,0.85,10,spf-static,54.0,0.1184600558084497,0.1371119711186068,232.0
scale_free,0.9,0.85,20,cspf,123.0,0.138629527927145,0.21820050778374828,232.0
scale_free,0.9,0.85,20,ecmp,114.5,0.1550577114432562,0.2612338857636385,232.0
scale_free,0.9,0.85,20,orbit,124.0,0.12787438151063635,0.21895016116838986,232.0
scale_free,0.9,0.85,20,spf-reconverge,129.0,0.14323096641802252,0.2701223615405475,232.0
scale_free,0.9,0.85,20,spf-static,54.0,0.1466878273193269,0.19078199681482122,232.0
scale_free,0.9,0.85,40,cspf,100.5,0.2798998095940651,0.483961551685563,232.0
scale_free,0.9,0.85,40,ecmp,104.5,0.2741892974728126,0.5035038101131168,232.0
