scenario,algorithm,n,pdr_critical_median,pdr_critical_iqr,pdr_critical_n,pdr_median,pdr_iqr,pdr_n,throughput_mbps_median,throughput_mbps_iqr,throughput_mbps_n,time_to_restore_critical_s_median,time_to_restore_critical_s_iqr,time_to_restore_critical_s_n,control_seconds_median,control_seconds_iqr,control_seconds_n,p95_latency_ms_median,p95_latency_ms_iqr,p95_latency_ms_n
waxman-n50-load0.7-random_node_30-centralised-deg4.0,spf-reconverge,30,0.5091662667144816,0.13039497964568963,30,0.3021453156545104,0.05058539692093872,30,1518.6624196910166,405.22803731616864,30,,,0,0.06525949999922886,0.008714275012607686,30,151.0790552717777,28.735757372765505,30
waxman-n50-load0.7-random_node_30-centralised-deg4.0,spf-static,30,0.3337009574755112,0.1159309588167341,30,0.24157201386355354,0.05615039274262423,30,1225.3564374556636,447.04835593358666,30,,,0,0.04647765000117943,0.004413499977090396,30,101.13119866807094,0.5525886059503478,30
waxman-n500-load0.7-critical_link-centralised-deg4.0,cspf,30,0.9660194075540068,0.02061368533720731,30,0.7191782410945138,0.07432072230802633,30,21476.07441304683,1526.0833304349035,30,0.0,0.0,30,30.136794799997006,2.7310779499966884,30,153.41955854440675,1.3728285162906388,30
waxman-n500-load0.7-critical_link-centralised-deg4.0,ecmp,30,0.8702097336319137,0.03785024928726144,30,0.4306775565857046,0.025107499898876118,30,12964.197431756998,1011.7163271641384,30,0.0,0.0,30,40.922583200008376,5.312083900018479,30,201.06999722600463,46.43850908534418,30
waxman-n500-load0.7-critical_link-centralised-deg4.0,orbit,30,0.9813307812784837,0.02631641864424006,30,0.6989105093547445,0.055922285269930816,30,21033.760568343827,1874.6774037641371,30,0.0,0.0,30,22.04577949999657,3.4762437749814126,30,153.43896839578412,2.1427497083195135,30
waxman-n500-load0.7-critical_link-centralised-deg4.0,spf-reconverge,30,0.8702097336319137,0.03785024928726144,30,0.4306775565857046,0.025107499898876118,30,12964.197431756998,1011.7163271641384,30,0.0,0.0,30,9.321245449988055,1.3494332499612938,30,201.06999722600463,46.43850908534418,30
waxman-n500-load0.7-critical_link-centralised-deg4.0,spf-static,30,0.858568609058,0.04473142360185456,30,0.42848418956188217,0.0269578131134266,30,12946.759063720529,1015.391542980984,30,0.0,0.0,30,4.718130850014859,0.5036676250019809,30,201.09541170501572,34.63700232669248,30
waxman-n500-load0.7-random_node_30-centralised-deg4.0,cspf,30,0.46284935025102475,0.04443512440754899,30,0.3268305086447735,0.035927102822061685,30,9849.001179231016,749.7878420119614,30,,,0,16.384206399976392,12.51625584998692,30,158.28694047858028,47.58217783593949,30
waxman-n500-load0.7-random_node_30-centralised-deg4.0,ecmp,30,0.43782347958470236,0.03770789020197135,30,0.2269674365428579,0.016976192946684093,30,6621.176616919651,712.6308156926152,30,,,0,23.405542599997716,18.11149207498238,30,201.3533178557102,48.92459491612931,30
waxman-n500-load0.7-random_node_30-centralised-deg4.0,orbit,30,0.4771877764488608,0.04366396187268495,30,0.33495619417903844,0.04086371592753624,30,9869.43355255152,631.4184005261577,30,,,0,17.23574905001442,14.63570812503167,30,154.9587645327278,48.03370400500063,30
waxman-n500-load0.7-random_node_30-centralised-deg4.0,spf-reconverge,30,0.43782347958470236,0.03770789020197135,30,0.2269674365428579,0.016976192946684093,30,6621.176616919651,712.6308156926152,30,,,0,5.906542399970931,4.1699113250142545,30,201.3533178557102,48.92459491612931,30
waxman-n500-load0.7-random_node_30-centralised-deg4.0,spf-static,30,0.2068206906513514,0.020574470163100184,30,0.14229168514684654,0.016050344680037243,30,4155.2462108257205,560.8782030288849,30,,,0,4.298206799983745,3.1308483999746386,30,151.27916214275382,0.3276381845448384,30
