family,offered_load,threshold,dwell,algorithm,static_median,other_median,median_difference,p_value,cliffs_delta,static_lower,n_pairs,p_holm,effect,significant
scale_free,0.7,0.98,5,cspf,34.0,101.0,67.5,1.7159286750586906e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.98,5,orbit,34.0,96.0,59.0,1.711606992411454e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.98,10,spf-reconverge,34.0,112.0,77.5,1.7191759138770554e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.98,10,ecmp,34.0,95.0,63.0,1.7019164327509632e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.98,10,cspf,34.0,99.0,64.0,1.7137666960733877e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.98,10,orbit,34.0,95.0,59.5,1.7245993818153558e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.98,20,spf-reconverge,34.0,111.5,77.5,1.7137666960733877e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.98,20,ecmp,34.0,96.0,62.0,1.7202594665136766e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.98,20,cspf,34.0,100.5,66.5,1.7224282827430733e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.98,20,orbit,34.0,98.0,60.0,1.712686559944352e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.98,40,spf-reconverge,30.0,81.0,49.5,1.7094495621956692e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.98,40,ecmp,30.0,78.0,48.5,1.6976242500698797e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.98,40,cspf,30.0,70.0,41.0,1.7137666960733877e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.98,40,orbit,30.0,75.5,44.0,1.7137666960733877e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,1.0,1,spf-reconverge,32.0,110.5,79.0,1.7159286750586906e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,1.0,1,ecmp,32.0,100.0,68.0,1.7213435893906393e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,1.0,1,cspf,32.0,100.0,67.5,1.712686559944352e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,1.0,1,orbit,32.0,95.0,61.5,1.7224282827430733e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,1.0,3,spf-reconverge,32.0,105.0,74.5,1.7202594665136766e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,1.0,3,ecmp,32.0,93.0,61.5,1.7213435893906393e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,1.0,3,cspf,32.0,98.0,65.5,1.7137666960733877e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,1.0,3,orbit,32.0,93.0,60.5,1.7245993818153558e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,1.0,5,spf-reconverge,32.0,108.5,75.5,1.7105279932400777e-06,1.0,True,30,0.0011285583997060354,large,True
