experiment,scenario,family,nodes,offered_load,failure,algorithm,trial,seed,flows,live_links,bound,achieved,optimality_gap
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,cspf,22,3059888429686649398,24,23,110727.5820689915,110478.75197460715,0.0022472277433938093
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,ecmp,22,3059888429686649398,24,23,110727.5820689915,110330.67005591105,0.0035845812367973906
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,orbit,22,3059888429686649398,24,23,110727.5820689915,110478.75197460715,0.0022472277433938093
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,spf-reconverge,22,3059888429686649398,24,23,110727.5820689915,109782.45810305804,0.008535578473524041
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,spf-static,22,3059888429686649398,24,23,110727.5820689915,109782.45810305804,0.008535578473524041
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,cspf,23,16241653174103761065,24,23,103835.58831920607,103835.58831920607,0.0
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,ecmp,23,16241653174103761065,24,23,103835.58831920607,103713.61100344422,0.001174715892078071
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,orbit,23,16241653174103761065,24,23,103835.58831920607,103835.58831920607,0.0
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,spf-reconverge,23,16241653174103761065,24,23,103835.58831920607,103652.9373607222,0.0017590400501452663
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,spf-static,23,16241653174103761065,24,23,103835.58831920607,103652.9373607222,0.0017590400501452663
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,cspf,24,12442423810534023475,24,23,123263.99893184062,123253.80051612899,8.273636909394977e-05
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,ecmp,24,12442423810534023475,24,23,123263.99893184062,123250.06070179876,0.00011307624418022133
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,orbit,24,12442423810534023475,24,23,123263.99893184062,123253.80051612899,8.273636909394977e-05
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,spf-reconverge,24,12442423810534023475,24,23,123263.99893184062,123213.23452666578,0.00041183480671358463
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,spf-static,24,12442423810534023475,24,23,123263.99893184062,123213.23452666578,0.00041183480671358463
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,cspf,25,14724311636648845121,24,23,124627.10844636905,124627.10844636905,0.0
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,ecmp,25,14724311636648845121,24,23,124627.10844636905,124627.10844636905,0.0
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,orbit,25,14724311636648845121,24,23,124627.10844636905,124627.10844636905,0.0
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,spf-reconverge,25,14724311636648845121,24,23,124627.10844636905,124588.87760301864,0.00030676185805000866
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,spf-static,25,14724311636648845121,24,23,124627.10844636905,124588.87760301864,0.00030676185805000866
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,cspf,26,3992947617308791880,24,23,117853.06507109004,117725.42162345067,0.0010830727869688417
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,ecmp,26,3992947617308791880,24,23,117853.06507109004,117711.52370391393,0.0012009986086549684
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,orbit,26,3992947617308791880,24,23,117853.06507109004,117722.99896264239,0.0011036294081039344
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,spf-reconverge,26,3992947617308791880,24,23,117853.06507109004,116660.93650034789,0.01011538028326242
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,spf-static,26,3992947617308791880,24,23,117853.06507109004,116660.93650034789,0.01011538028326242
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,cspf,27,15842901689595661475,24,23,128887.14810539658,128849.88966052655,0.00028907804554390015
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,ecmp,27,15842901689595661475,24,23,128887.14810539658,127956.87039348154,0.007217769386551387
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,orbit,27,15842901689595661475,24,23,128887.14810539658,128855.07466479638,0.00024884902080368754
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,spf-reconverge,27,15842901689595661475,24,23,128887.14810539658,115619.38165837395,0.10294095759006949
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,spf-static,27,15842901689595661475,24,23,128887.14810539658,115619.38165837395,0.10294095759006949
