experiment,scenario,family,nodes,offered_load,failure,control_mode,algorithm,trial,seed,pdr,pdr_critical,pdr_high,pdr_normal,pdr_low,throughput_mbps,mean_latency_ms,p95_latency_ms,time_to_restore_critical_s,time_to_restore_overall_s,censored,reroutes,preemptions,backup_activations,cascade_depth,cascade_threshold,cascade_dwell_ticks,cascade_saturated,total_links,time_to_converge_s,peak_restore_critical,optimality_gap,control_seconds,control_calls,blackholed_flow_ticks,wall_clock_s
a11-mechanisms,waxman-n60-load1.5-critical_link-centralised,waxman,60,1.5,critical_link,CENTRALISED,orbit,5,1861929761165333472,0.3712126389838459,0.7876430762534589,0.5583396430483031,0.1665571443300174,0.19134175382019553,5752.764402474061,124.40682468438831,301.5905561686981,0.0,0.0,True,200,0,0,0,0.98,3,False,292,0.30000000000000004,0.9999999999999999,,0.23923259996809065,2,2,1.2023821999900974
a11-mechanisms,waxman-n60-load1.5-critical_link-centralised,waxman,60,1.5,critical_link,CENTRALISED,orbit-no-damping,5,1861929761165333472,0.3712126389838459,0.7876430762534589,0.5583396430483031,0.1665571443300174,0.19134175382019553,5752.764402474061,124.40682468438831,301.5905561686981,0.0,0.0,True,200,0,0,0,0.98,3,False,292,0.30000000000000004,0.9999999999999999,,0.23464830001466908,2,2,1.327473999990616
a11-mechanisms,waxman-n60-load1.5-critical_link-centralised,waxman,60,1.5,critical_link,CENTRALISED,orbit-no-preemption,5,1861929761165333472,0.3712126389838459,0.7876430762534589,0.5583396430483031,0.1665571443300174,0.19134175382019553,5752.764402474061,124.40682468438831,301.5905561686981,0.0,0.0,True,200,0,0,0,0.98,3,False,292,0.30000000000000004,0.9999999999999999,,0.1912807000335306,2,2,1.2815193999849726
a11-mechanisms,waxman-n60-load1.5-critical_link-centralised,waxman,60,1.5,critical_link,CENTRALISED,orbit-no-protection,5,1861929761165333472,0.3712126389838459,0.7876430762534589,0.5583396430483031,0.1665571443300174,0.19134175382019553,5752.764402474061,124.40682468438831,301.5905561686981,0.0,0.0,True,200,0,0,0,0.98,3,False,292,0.30000000000000004,0.9999999999999999,,0.20158699998864904,2,2,1.316700099996524
a11-mechanisms,waxman-n60-load1.5-critical_link-centralised,waxman,60,1.5,critical_link,CENTRALISED,orbit-restoration-only,5,1861929761165333472,0.3712126389838459,0.7876430762534589,0.5583396430483031,0.1665571443300174,0.19134175382019553,5752.764402474061,124.40682468438831,301.5905561686981,0.0,0.0,True,200,0,0,0,0.98,3,False,292,0.30000000000000004,0.9999999999999999,,0.1794740999757778,2,2,1.2827863999991678
a11-mechanisms,waxman-n60-load1.5-critical_link-centralised,waxman,60,1.5,critical_link,CENTRALISED,cspf,6,8677753075868886589,0.3249984214214008,0.6206292293964235,0.4184635116055946,0.29891124700741173,0.12657719123649408,5445.312155213896,98.24390993186098,200.87798206371562,0.0,0.2,True,56,0,0,0,0.98,3,False,298,0.30000000000000004,1.0,,0.19893149999552406,2,8,1.1683003999933135
a11-mechanisms,waxman-n60-load1.5-critical_link-centralised,waxman,60,1.5,critical_link,CENTRALISED,orbit,6,8677753075868886589,0.3167775933410843,0.8036103294183462,0.5645119466912343,0.16936111966054287,0.04259625162017916,5307.573101356685,102.2917815068577,201.02634551782475,0.0,0.0,True,216,1,0,0,0.98,3,False,298,0.30000000000000004,1.0000000000000002,,0.2434252000239212,2,4,1.5749422000080813
a11-mechanisms,waxman-n60-load1.5-critical_link-centralised,waxman,60,1.5,critical_link,CENTRALISED,orbit-no-damping,6,8677753075868886589,0.3167775933410843,0.8036103294183462,0.5645119466912343,0.16936111966054287,0.04259625162017916,5307.573101356685,102.2917815068577,201.02634551782475,0.0,0.0,True,216,1,0,0,0.98,3,False,298,0.30000000000000004,1.0000000000000002,,0.25082439999096096,2,4,1.634079199982807
a11-mechanisms,waxman-n60-load1.5-critical_link-centralised,waxman,60,1.5,critical_link,CENTRALISED,orbit-no-preemption,6,8677753075868886589,0.31974229170004076,0.8036103294183462,0.5645119466912343,0.1705435968632057,0.052078789122680366,5357.246290352382,102.93966863494254,201.02634551782475,0.0,0.0,True,217,0,0,0,0.98,3,False,298,0.30000000000000004,1.0000000000000002,,0.2113031999906525,2,4,1.5707073000085074
a11-mechanisms,waxman-n60-load1.5-critical_link-centralised,waxman,60,1.5,critical_link,CENTRALISED,orbit-no-protection,6,8677753075868886589,0.3167775933410843,0.8036103294183462,0.5645119466912343,0.16936111966054287,0.04259625162017916,5307.573101356685,102.2917815068577,201.02634551782475,0.0,0.0,True,216,1,0,0,0.98,3,False,298,0.30000000000000004,1.0000000000000002,,0.2697613000054844,2,4,1.5562694999971427
